drug_claim_name	drug_name	chembl_id	drug_claim_source
AC1OF50G	LINCOMYCIN	CHEMBL1447	PubChem
GTPL442	CHEMBL2113342	CHEMBL2113342	PubChem
DCL001024	OLEIC ACID	CHEMBL8659	TTD
DEOXYCOFORMYCIN	PENTOSTATIN	CHEMBL1580	NCI
3896	GALANTIDE	CHEMBL526003	GuideToPharmacologyInteractions
DPR000145			TTD
Irinotecan	IRINOTECAN	CHEMBL481	CKB
CHEMBL2403108	CERITINIB	CHEMBL2403108	ChemblInteractions
POH	PERILLYL ALCOHOL	CHEMBL236687	NCI
2633	CHEMBL109279	CHEMBL109279	GuideToPharmacologyInteractions
CHEMBL400754	CHEMBL400754	CHEMBL400754	PubChem
PEMETREXED	PEMETREXED (CHEMBL1201258)	CHEMBL1201258	TdgClinicalTrial
6975	VISMODEGIB	CHEMBL473417	GuideToPharmacologyInteractions
2051	SEGLITIDE	CHEMBL311695	GuideToPharmacologyInteractions
MG98			TdgClinicalTrial
1540	CHEMBL122264	CHEMBL122264	GuideToPharmacologyInteractions
AZD6738	AZD-6738	CHEMBL3545178	CGI
DAP001066	BROMPHENIRAMINE	CHEMBL811	TTD
3432	CHEMBL497834	CHEMBL497834	GuideToPharmacologyInteractions
[2'-HYDROXY-3'-(1H-PYRROLO[3,2-C]PYRIDIN-2-YL)-BIPHENYL-3-YLMETHYL]-UREA	CHEMBL209022	CHEMBL209022	PubChem
DAP000652	TROVAFLOXACIN	CHEMBL428	TTD
2932	L-LACTIC ACID	CHEMBL330546	GuideToPharmacologyInteractions
AL5927			PubChem
7RH			CKB
5-{4-[(3,5-DIFLUOROBENZYL)AMINO]PHENYL}-6-ETHYLPYRIMIDINE-2,4-DIAMINE	CHEMBL230153	CHEMBL230153	PubChem
PACLITAXEL	PACLITAXEL	CHEMBL428647	TEND
JNJ-10311795	CHEMBL374027	CHEMBL374027	PubChem
851			GuideToPharmacologyInteractions
CHEMBL1372	OXIGLUTATIONE	CHEMBL1372	ChemblInteractions
G007-LK	CHEMBL2325503	CHEMBL2325503	CKB
2137			GuideToPharmacologyInteractions
UNII-Q1BX7HE63A			PubChem
CHEMBL3545137	PF-00477736	CHEMBL3545137	ChemblInteractions
AT9283	AT-9283	CHEMBL495727	TALC
BUPRENORPHINE HCL			PubChem
VENLAFAXINE HYDROCHLORIDE	VENLAFAXINE HYDROCHLORIDE	CHEMBL1201066	PubChem
3217	CHEMBL362628	CHEMBL362628	GuideToPharmacologyInteractions
ESTRADIOL VALERATE	ESTRADIOL VALERATE	CHEMBL1511	PubChem
1512	PHENYLPYRUVATE	CHEMBL1162488	GuideToPharmacologyInteractions
3-METHYL-N-(PYRIDIN-4-YLMETHYL)IMIDAZO[1,2-A]PYRAZIN-8-AMINE			PubChem
INOSITOL 1,4,5-TRISPHOSPHATE	INS(1,4,5)P3	CHEMBL279107	PubChem
1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA			PubChem
7658			GuideToPharmacologyInteractions
DAP000076	ARIPIPRAZOLE	CHEMBL1112	TTD
MK-4827	NIRAPARIB	CHEMBL1094636	TdgClinicalTrial
DAP000866	SULODEXIDE	CHEMBL2108086	TTD
CICLESONIDE	CICLESONIDE	CHEMBL2040682	TdgClinicalTrial
CARBAMYLCHOLINE			PubChem
GANCICLOVIR	GANCICLOVIR	CHEMBL182	NCI
8855	CHEMBL481422	CHEMBL481422	GuideToPharmacologyInteractions
LIXIANA	EDOXABAN	CHEMBL1269025	PubChem
CHEMBL3545193	MSC-2364447	CHEMBL3545193	ChemblInteractions
BRYOSTATIN	BRYOSTATIN	CHEMBL449158	MyCancerGenomeClinicalTrial
