gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
CDK7	CDK7	1022	CancerCommons	inhibitor	SNS-032	SNS-032	BMS-387032	CHEMBL296468	
ADORA2A	19	135	GuideToPharmacologyInteractions	antagonist	392	MRS1041	CHEMBL72862	CHEMBL72862	
FGFR2	FGFR2	2263	CKB		AZ6089	AZ6089			22869148
APOE	APOE	348	NCI		PREDNISONE	PREDNISONE	PREDNISONE	CHEMBL635	3185288
CYP2E1	CYP2E1	1571	NCI		ISOFLAVONE	ISOFLAVONE	ISOFLAVONE	CHEMBL366460	15056880
PDGFRB	PDGFR	5159	ChemblInteractions	inhibitor	CHEMBL576982	QUIZARTINIB	QUIZARTINIB	CHEMBL576982	
MTOR	2109	2475	GuideToPharmacologyInteractions	inhibitor	9361	WYE-354	CHEMBL561708	CHEMBL561708	
DNTT	DNTT	1791	NCI		HYDROXYUREA	HYDROXYUREA	HYDROXYUREA	CHEMBL467	291471
OPRM1	319	4988	GuideToPharmacologyInteractions	agonist	3534	SUFENTANIL	SUFENTANIL	CHEMBL658	
PIK3R2	PIK3R2	5296	MyCancerGenome	inhibitor	PF-4691502	PF-4691502	PF-04691502	CHEMBL1234354	
SIGMAR1	TTDS00129	10280	TTD	binder	DCL000789	E-5842	CITRIC ACID	CHEMBL1261	
HRH4	265	59340	GuideToPharmacologyInteractions	antagonist	1220	[3H]PYRILAMINE			
FGFR1	1808	2260	GuideToPharmacologyInteractions	inhibitor	9039	ERDAFITINIB	JNJ-42756493	CHEMBL3545376	
ATP4A	P20648	495	TEND		PANTOPRAZOLE	PANTOPRAZOLE	PANTOPRAZOLE	CHEMBL1502	
IGF1R	1801	3480	GuideToPharmacologyInteractions	inhibitor	8067	NVP-AEW541	AEW-541	CHEMBL551064	
IDH1	IDH1	3417	CKB		BPTES	BPTES			21045145
NOS2	1250	4843	GuideToPharmacologyInteractions	inhibitor	5102	1400W	1400W	CHEMBL107251	
F2R	CF2R	2149	ChemblInteractions	inhibitor	CHEMBL2013119	RIGOSERTIB SODIUM	RIGOSERTIB SODIUM	CHEMBL2013119	
ATP1A1	P05023	476	TdgClinicalTrial		ISTAROXIME	ISTAROXIME	ISTAROXIME	CHEMBL3138451	
ADRB2	P07550	154	TdgClinicalTrial		ALPRENOLOL	ALPRENOLOL	ALPRENOLOL	CHEMBL266195	
CACNA1F	CACNAF1	778	ChemblInteractions	modulator	CHEMBL2103836	IMAGABALIN	IMAGABALIN	CHEMBL2103836	
HTR1A	1	3350	GuideToPharmacologyInteractions	agonist	16	L-772,405	CHEMBL313714	CHEMBL313714	
HDAC5	2660	10014	GuideToPharmacologyInteractions	inhibitor	7490	GIVINOSTAT	CHEMBL1213492	CHEMBL1213492	
IL10	IL10	3586	NCI		FLUTICASONE PROPIONATE	FLUTICASONE PROPIONATE	FLUTICASONE PROPIONATE	CHEMBL1473	12372131
AR	TTDS00115	367	TTD	inhibitor	DAP000569	SULINDAC			
COL6A6	COL6A6	131873	ChemblInteractions		CHEMBL2095222	OCRIPLASMIN	OCRIPLASMIN	CHEMBL2095222	
GNRHR	256	2798	GuideToPharmacologyInteractions	antagonist	1187	[3H]NBI-49202	CHEMBL179691	CHEMBL179691	
SCN11A	SCN12A	11280	ChemblInteractions	blocker	CHEMBL3545209	NKTR-171	NKTR-171	CHEMBL3545209	
GADD45A	GADD45A	1647	NCI		DOXORUBICIN	DOXORUBICIN	DOXORUBICIN	CHEMBL53463	7729953
DRD4	DRD4	1815	ChemblInteractions	antagonist	CHEMBL1201155	LOXAPINE SUCCINATE	LOXAPINE SUCCINATE	CHEMBL1201155	
IL2RA	P42701	3559	TdgClinicalTrial		INCELL-1001+ AD-1001	INCELL-1001+ AD-1001			
KDR	P35968	3791	TdgClinicalTrial		LENVATINIB	LENVATINIB	LENVATINIB	CHEMBL1289601	
HRH4	265	59340	GuideToPharmacologyInteractions	antagonist	8924	PITOLISANT	TIPROLISANT	CHEMBL462605	
KRAS	KRAS	3845	CKB		lenalidomide	lenalidomide	LENALIDOMIDE	CHEMBL848	27458141
MTNR1B	288	4544	GuideToPharmacologyInteractions	agonist	7779	[125I]S70254			
MGMT	MGMT	4255	NCI		CHLORAMBUCIL	CHLORAMBUCIL	CHLORAMBUCIL	CHEMBL515	8621235
BAX	BAX	581	NCI		PREDNISOLONE	PREDNISOLONE	PREDNISOLONE	CHEMBL131	12730678
CACNB4	O00305	785	TEND		VERAPAMIL	VERAPAMIL	VERAPAMIL	CHEMBL6966	
